product_id,product_title,rating,total_reviews,price,top_reviews
itmb102b8a51100e,"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)",4.6,95,"₹1,37,900","5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 1924 804 Permalink Report Abuse || 5 Terrific purchase Awesome READ MORE Eliyas Khan Certified Buyer , Betul 7 months ago 152 52 Permalink Report Abuse || 5 Best in the market! This is a mini supercomputer. Speed just wow !!! READ MORE SHUBHANKAR KARMAKAR Certified Buyer , North 24 Parganas 10 months ago 1260 544 Permalink Report Abuse || 5 Great product The best. READ MORE Amrit Pratyush Pattanaik Certified Buyer , Bhubaneswar 10 months ago 474 194 Permalink Report Abuse"
itm7e75db4f27bd5,"Apple iPhone 16 Pro Max (Black Titanium, 256 GB)",4.6,95,"₹1,37,900","5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 1924 804 Permalink Report Abuse || 5 Terrific purchase Awesome READ MORE Eliyas Khan Certified Buyer , Betul 7 months ago 152 52 Permalink Report Abuse || 5 Best in the market! This is a mini supercomputer. Speed just wow !!! READ MORE SHUBHANKAR KARMAKAR Certified Buyer , North 24 Parganas 10 months ago 1260 544 Permalink Report Abuse || 5 Great product The best. READ MORE Amrit Pratyush Pattanaik Certified Buyer , Bhubaneswar 10 months ago 474 194 Permalink Report Abuse"
itmd7440318746d1,"Apple iPhone 16 Pro Max (Natural Titanium, 512 GB)",4.6,95,"₹1,57,900","5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 1924 804 Permalink Report Abuse || 5 Terrific purchase Awesome READ MORE Eliyas Khan Certified Buyer , Betul 7 months ago 152 52 Permalink Report Abuse || 5 Best in the market! This is a mini supercomputer. Speed just wow !!! READ MORE SHUBHANKAR KARMAKAR Certified Buyer , North 24 Parganas 10 months ago 1260 544 Permalink Report Abuse || 5 Great product The best. READ MORE Amrit Pratyush Pattanaik Certified Buyer , Bhubaneswar 10 months ago 474 194 Permalink Report Abuse"
itm78c52ab1c6488,"Apple iPhone 16 Pro Max (White Titanium, 256 GB)",4.6,95,"₹1,37,900","5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 1924 804 Permalink Report Abuse || 5 Terrific purchase Awesome READ MORE Eliyas Khan Certified Buyer , Betul 7 months ago 152 52 Permalink Report Abuse || 5 Best in the market! This is a mini supercomputer. Speed just wow !!! READ MORE SHUBHANKAR KARMAKAR Certified Buyer , North 24 Parganas 10 months ago 1260 544 Permalink Report Abuse || 5 Great product The best. READ MORE Amrit Pratyush Pattanaik Certified Buyer , Bhubaneswar 10 months ago 474 194 Permalink Report Abuse"
itmff24c14e68d14,"Apple iPhone 13 Pro Max (Silver, 256 GB)",4.6,193,"₹1,39,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11642 1284 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5558 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1925 271 Permalink Report Abuse || 5 Super! Fantastic READ MORE Prashanthsahu Certified Buyer , Hyderabad Oct, 2022 2791 402 Permalink Report Abuse"
itmdbb23fa63b708,"Apple iPhone 13 Pro Max (Graphite, 1 TB)",4.6,193,"₹1,79,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11643 1284 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5558 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1925 271 Permalink Report Abuse || 5 Fabulous! Truly a pro max phone!!! READ MORE Sudhanshu Ojha Certified Buyer , Bangalore Oct, 2021 6269 935 Permalink Report Abuse"
itmcb824a3301158,"Apple iPhone 13 Pro Max (Sierra Blue, 256 GB)",4.6,193,"₹1,39,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11643 1284 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5558 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1925 271 Permalink Report Abuse || 5 Fabulous! Truly a pro max phone!!! READ MORE Sudhanshu Ojha Certified Buyer , Bangalore Oct, 2021 6269 935 Permalink Report Abuse"
itm282cb973542f0,"Apple iPhone 13 Pro Max (Silver, 512 GB)",4.6,193,"₹1,59,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11642 1284 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5558 824 Permalink Report Abuse || 5 Fabulous! Best in class READ MORE Sumrendra Singh Certified Buyer , Lucknow Oct, 2021 1925 271 Permalink Report Abuse || 5 Super! Fantastic READ MORE Prashanthsahu Certified Buyer , Hyderabad Oct, 2022 2791 402 Permalink Report Abuse"
itm9ce88307f4033,"Apple iPhone 16 Pro (Black Titanium, 256 GB)",4.6,141,"₹1,15,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2287 946 Permalink Report Abuse || 5 Just wow! Almost DSLR-level photos in my pocket 📸😍 READ MORE Flipkart Customer Certified Buyer , Goalpara 1 month ago 33 7 Permalink Report Abuse || 5 Great product Loved it best in the market . You should go for it Thanks READ MORE Flipkart Customer Certified Buyer , Murshidabad District 8 months ago 597 246 Permalink Report Abuse || 4 Really Nice Iphone 12 to iphone 16 pro amazing upgrade ❤️ I love thie phone Overall the beast ❤️ READ MORE Aman Kumar Certified Buyer , Munger 6 months ago 231 85 Permalink Report Abuse"
itm4397c54ec56b7,"Apple iPhone 16 Pro (Natural Titanium, 128 GB)",4.6,141,"₹1,12,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2323 974 Permalink Report Abuse || 5 Just wow! Almost DSLR-level photos in my pocket 📸😍 READ MORE Flipkart Customer Certified Buyer , Goalpara 1 month ago 42 10 Permalink Report Abuse || 5 Must buy! 📱 iPhone 16 Pro: A Refined Flagship Experience, READ MORE Kouser Khan Certified Buyer , Bengaluru 4 months ago 16 2 Permalink Report Abuse || 5 Great product Loved it best in the market . You should go for it Thanks READ MORE Flipkart Customer Certified Buyer , Murshidabad District 8 months ago 600 249 Permalink Report Abuse"
itm35f749ba5d1ea,"Apple iPhone 16 Pro (White Titanium, 256 GB)",4.6,141,"₹1,22,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2323 974 Permalink Report Abuse || 5 Just wow! Almost DSLR-level photos in my pocket 📸😍 READ MORE Flipkart Customer Certified Buyer , Goalpara 1 month ago 42 10 Permalink Report Abuse || 5 Must buy! 📱 iPhone 16 Pro: A Refined Flagship Experience, READ MORE Kouser Khan Certified Buyer , Bengaluru 4 months ago 16 2 Permalink Report Abuse || 5 Great product Loved it best in the market . You should go for it Thanks READ MORE Flipkart Customer Certified Buyer , Murshidabad District 8 months ago 600 249 Permalink Report Abuse"
